id,title,brand,part_type,location,quantity,cost,notes,photo
229,Frame brace 2020,,Hardware,Bin 3,4,0.00,,x63GTT6o8Cag8XSEeX3h6U.Photo.021542.jpg
52,Fuse bed 125c,,Electronics,Bin 1,1,0.00,,cPsO0rYlWdx4I5yvISkSfK.Photo.023513.jpg
53,Galileo 2 extruder,LDO,Electronics,Bin 1,4,0.00,One built,OLkvTCO1qL6a67BTi8Cb8g.Photo.232553.jpg
54,Galileo 2 extruder,,Electronics,Bin 4,1,0.00,,N5qL4JGSTfygSL7OOZTzoZ.Photo.222229.jpg
151,GE5C bearing,,Motion,Bearings,12,0.00,,ctnKkdKefGMvfdqBuaxOOk.Photo.210845.jpg
55,H36 combo toolboard,Fystec,Electronics,Bin 4,3,0.00,,
230,Handles aluminum,LDO,Hardware,Bin 3,2,0.00,,hjvRJ2TkU0oTmrasmczwSU.Photo.232418.jpg
231,Heatcore 4 APLALS,Mellow,Hardware,Hot End,3,0.00,,0BvoAMO8ydq8QJJV1gjkjd.Photo.202320.jpg
232,Heatcore 4 thermistor,Mellow,Hardware,Hot End,1,0.00,,RZ1reIGhL9UbXK0CZgd6Vi.Photo.202521.jpg
275,Heat shrink braided cable sleeving id 4mm,,Misc,Bin 4,1,0.00,,jH8s8resJQteggWcjcw7hc.Photo.214652.jpg
276,Hextrudort low plus CNC extruder,,Misc,Bin 2,1,0.00,,UMIr431nlnsxBlPSDW6QEE.Photo.225926.jpg
233,Hotend Dragon HF,Phaetus,Hardware,Hot End,1,0.00,,j8fF6TOuJQTMciOkHSlFj5.Photo.235849.jpg
56,Hotend extensions,,Electronics,Hot End,2,0.00,,ZEpyzUL5NgmWQNNOXqqyWm.Photo.205602.jpg
234,Hotend v6,,Hardware,Hot End,2,0.00,,tFc3sKB9BKnL5jWNin6kEO.Photo.003917.jpg
152,Idler 20teeth GT2 bore 5 belt 6,,Motion,Bearings,5,0.00,,
57,Inlet with light switch,,Electronics,Bin 2,3,0.00,Switches have been replaced,0wGE15MT7YI1i7PQtJoyAC.Photo.220925.jpg
58,Inlet with switch and fuse,Adams,Electronics,Bin 2,1,0.00,,kFCIf6rQtlC6a1QC2qAOVA.Photo.213233.jpg
153,Intertia cube i3 bearings,,Motion,Bin 4,1,0.00,"5 x pulley, 5x idler, 2 x lm12uu",RIkm2VpJmkCquu33pRs0Jw.Photo.224102.jpg
59,Klicky PCB kit,,Electronics,Bin 1,10,0.00,,LiUDjbVvK7p0XwaxRhuhpq.Photo.233212.jpg
60,Klipper expander board,,Electronics,Bin 1,2,0.00,,JmQeMQjoQ6uZQCGt6flxVX.Photo.234829.jpg
61,Kraken MCU,BTT,Electronics,Bin 2,1,0.00,,Ffn4cnHejvzv8FeycXfNMD.Photo.233901.jpg
62,LED Bar 5v 270mm,,Electronics,Bin 2,2,0.00,,orfEcDmtEs0C1ogOx5J7s7.Photo.235631.jpg
65,Led lightbar RGB 15 8mm,Mellow,Electronics,Bin 1,0,0.00,,moL7zDW1c3lkgIluCcCpoX.Photo.005315.jpg
63,Led light strip,,Electronics,Bin 1,1,0.00,,pqGxkVafyaMytUDhLlmf1n.Photo.010151.jpg
64,Led light strip 5v,,Electronics,Bin 1,1,0.00,,4y0t8JIt0EjTzRKnp89rb5.Photo.005640.jpg
155,Linear rail MGN12H 300mm,RDBB,Motion,Bin 1,1,0.00,,4GxErjdWwDiuPQXrDXhiPG.Photo.230707.jpg
154,Linear rail MGN9H 300mm,RDBB,Motion,Bin 1,2,0.00,,dU29Eip3G9ZD7MXXyAMlo9.Photo.230737.jpg
66,Lrs-350-24 psu,Meanwell,Electronics,Bin 4,1,0.00,,9EbeosLSReT77gBOobMs1z.Photo.222148.jpg
67,Manta mp8 MCU,BTT,Electronics,Bin 4,1,0.00,,Bbprq5M1uCd0uhesHaciRt.Photo.212228.jpg
68,Meanwell lrs-350-48,Meanwell,Electronics,Bin 2,2,0.00,,LunqiyWV2YcJYZ1vkcqqpz.Photo.211244.jpg
277,Melt zone extender sock mze,Triangle Labs,Misc,Hot End,5,0.00,,rzC1Tx55akDEP1r6YcAw6K.Photo.225608.jpg
159,MGN12h 350mm,,Motion,Bin 4,4,0.00,Inertia cube i3,v3ylPxhfxwZSiNcWPCsrs1.Photo.215442.jpg
160,MGN12h 350mm z2 x axis,Beseker,Motion,Bin 4,1,0.00,Inertia cube i3,Oo5as4fSDDNuMVXGmyLUC0.Photo.223421.jpg
156,MGN7H linear rail 150mm,Youmetong,Motion,Bin 2,1,0.00,Hex zero,nCEYE4z5658svjq91rlL5Q.Photo.233014.jpg
157,MGN9H 300mm,,Motion,Bin 4,1,0.00,Inertia cube i3,QgWz8nDoLy5EzOd9oTduoL.Photo.214248.jpg
158,MGN9H linear rail 200mm,Youmetong,Motion,Bin 2,1,0.00,Hex zero,RRu5Ywlz1T1RJX0X5pxHxY.Photo.233108.jpg
278,Micron build plate 185x185 glacier,Biqu,Misc,Bin 4,1,0.00,,yX9L7af6ntw4Y0WNpJqAZ0.Photo.211901.jpg
279,Micron cryogrip build plate,Biqu,Misc,Bin 3,1,0.00,,
69,Micro SD extension cable,,Electronics,Bin 4,1,0.00,,ISDjX43neVnyUGiaW3vXnj.Photo.151005.jpg
70,Misc thermistors,Generic,Electronics,Hot End,7,0.00,,B2IDXncGL1uhgnONlsSKNg.Photo.205822.jpg
71,MMB CAN v1.0,BTT,Electronics,Bin 1,1,0.00,,24dbZX3AEPhCuadHVW3F9s.Photo.231527.jpg
72,MMB EZ2209 drivers,BTT,Electronics,Bin 1,2,0.00,In the mmb box,3hST4Gvc9Kdh4oNSa5Qn9Z.Photo.231631.jpg
73,Motor 6v,,Electronics,Bin 2,6,0.00,Box turtle,UAwRtf7w1Kbm3uMLLb4XW7.Photo.000643.jpg
161,Motor Nema 14 36mm pancake,Moons,Motion,Bin 1,6,0.00,,AAxojwBSEtNfylCYxNG5cT.Photo.222422.jpg
162,Motor Nema 17,Stepper Online,Motion,Bin 1,5,0.00,,Y6zfWf9oW3soC9o8zsz2dC.Photo.224550.jpg
164,Motor Nema 17,LDO,Motion,Bin 1,1,0.00,,UNvVSqvybm84YyYVNnomyy.Photo.224059.jpg
163,Motor Nema 17,Moons,Motion,Bin 1,2,0.00,,JugvVaRXtnUCyV5TqWquwr.Photo.223102.jpg
165,Motor Nema 17 bj42d15,Ceality,Motion,Bin 1,2,0.00,,GgOijaSnemGVHz8R2n7WeL.Photo.223959.jpg
166,Motor Nema 17 bj42d22,Ceality,Motion,Bin 1,1,0.00,,K50vKFjZzo1oR73diTeokX.Photo.223843.jpg
167,Motor Nema 17 integrated leadscrew 300mm,Siboor,Motion,Bin 1,3,0.00,,9hhRkm0vcAFN4tOsh0ATqR.Photo.223441.jpg
235,Mze melt zone extender v6,Triangle Labs,Hardware,Hot End,2,0.00,,hu6TezDPtp0EJnu7ZVNgYN.Photo.205648.jpg
